id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,target
130690,0,0,3,0,0,2,0,4,0,0,2,1,5,7,0,0,2,0,2,3,0,0,2,4,1,2,0,0,0,3,0,2,3,2,0,3,0,8,21,5,1,0,1,4,1,2,6,0,1,0,0,0,0,0,6,6,0,0,0,0,2,0,1,0,0,1,0,3,0,0,0,0,2,12,2,Class_2
191766,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Class_3
48710,0,0,22,0,0,0,2,1,3,1,0,0,0,0,3,0,1,0,6,10,0,0,0,0,0,7,2,0,0,8,1,0,1,1,3,0,0,2,0,2,0,0,1,3,4,1,0,0,0,0,4,3,0,0,1,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,22,0,Class_2
132176,0,0,0,5,0,7,0,6,0,1,0,0,1,2,1,4,3,4,2,24,10,14,1,0,30,3,1,1,1,0,5,2,74,8,0,0,21,22,13,4,0,0,2,2,0,0,0,1,1,0,10,1,0,0,13,0,0,0,1,0,8,2,12,0,1,3,1,60,3,0,4,1,0,0,0,Class_8
6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
22725,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,0,4,0,0,10,3,0,0,1,0,1,2,0,2,1,0,0,0,2,0,0,1,0,0,0,0,2,1,12,0,1,3,0,0,0,1,0,1,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Class_8
809,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9,14,0,0,5,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,4,0,1,0,0,2,0,0,2,0,28,0,10,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,0,3,0,0,Class_2
113503,0,1,0,1,0,0,0,0,11,0,0,0,1,0,2,0,0,0,1,8,0,0,0,6,0,0,0,0,1,2,1,0,0,29,0,0,2,2,41,3,0,0,1,1,0,0,0,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,3,0,0,Class_6
90858,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,1,3,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0,4,1,0,0,0,0,0,0,4,0,1,11,0,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,3,0,0,Class_8
37747,0,0,0,0,0,1,3,0,0,2,0,0,4,6,4,0,1,0,1,7,3,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,7,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,Class_8
129625,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,0,2,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,0,0,0,0,0,0,1,5,0,2,0,1,0,0,0,5,0,0,2,0,1,1,5,0,3,2,0,0,Class_8
19644,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,Class_6
60151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_9
64047,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
160888,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7,0,0,1,1,0,0,3,5,2,0,0,0,0,4,0,0,2,0,5,0,1,0,1,4,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,2,0,0,Class_6
54783,4,2,2,0,3,0,1,0,7,0,0,0,11,0,0,0,0,0,4,10,0,0,0,4,0,0,0,5,7,4,1,1,1,0,0,0,1,20,5,1,0,0,2,3,16,1,59,0,0,5,0,2,0,0,1,4,37,0,0,0,0,2,5,0,0,0,0,5,0,3,7,0,1,0,0,Class_3
129464,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,0,0,0,1,3,3,0,0,3,1,1,0,1,0,2,1,1,62,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,1,1,1,1,0,0,0,0,0,60,0,0,0,0,0,0,0,Class_5
142387,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_6
142234,16,0,5,0,0,6,0,0,2,2,4,0,5,0,1,1,6,0,2,0,23,8,0,0,1,6,1,1,2,3,0,0,0,1,0,4,1,14,0,0,1,0,0,1,0,0,73,6,1,0,1,0,1,0,0,15,0,0,2,1,0,0,0,1,0,12,0,5,0,1,0,1,1,0,0,Class_8
139136,0,0,1,1,0,0,1,3,2,0,0,0,2,0,5,0,2,1,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,1,1,0,0,0,1,1,0,0,3,0,5,2,0,0,1,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,Class_6
77726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
198810,1,3,0,1,0,0,0,0,1,10,1,0,1,0,0,0,5,1,4,13,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,3,1,1,0,0,1,0,0,1,1,1,0,0,1,0,2,1,0,2,9,0,1,1,1,1,3,0,0,0,0,1,3,0,0,2,0,6,1,1,0,Class_8
66400,0,1,1,5,2,1,0,0,14,0,3,0,1,1,2,0,0,0,3,8,1,0,0,1,1,0,0,0,0,2,3,0,0,2,0,2,0,1,0,1,2,1,2,13,1,1,3,0,1,0,2,1,0,3,0,1,4,0,9,0,7,0,0,1,2,21,0,1,0,0,0,0,2,1,0,Class_6
166158,0,0,2,0,1,2,0,0,0,2,1,2,0,0,0,0,1,0,0,7,1,0,0,0,0,4,0,0,0,2,0,2,11,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,1,8,0,0,0,2,0,0,1,1,2,1,0,0,0,1,2,1,9,0,0,0,Class_3
188687,1,3,0,1,0,0,0,0,2,0,2,0,1,3,1,0,8,0,1,4,4,1,1,0,0,5,0,0,1,2,5,0,2,0,1,1,12,0,0,1,3,3,0,1,0,0,0,0,1,4,5,1,1,1,49,43,1,1,1,0,8,1,3,0,0,3,0,1,0,8,0,0,2,8,0,Class_7
150191,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,4,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Class_9
163809,0,1,1,6,0,1,0,0,1,5,0,0,3,0,2,5,13,0,1,9,0,0,0,5,0,0,0,0,0,0,0,0,2,0,4,9,0,3,1,0,4,0,0,1,3,1,0,0,1,2,0,2,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,Class_6
65429,1,1,0,7,3,1,0,0,0,3,0,32,0,2,27,1,3,0,2,0,1,0,0,0,1,13,0,1,0,0,1,5,0,0,2,1,0,1,2,2,3,0,0,7,0,15,1,0,1,0,1,1,0,3,76,1,6,0,2,0,1,1,48,3,0,2,1,2,0,1,0,0,1,2,0,Class_8
181498,0,0,0,0,0,0,0,1,0,11,1,1,1,0,0,0,0,0,0,2,0,6,2,0,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,9,0,0,1,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,3,Class_7
112316,1,0,0,0,0,1,4,0,0,12,2,1,2,0,0,0,0,0,0,51,1,0,0,0,0,3,0,0,0,0,0,3,1,1,0,2,0,0,0,8,0,0,0,0,0,0,4,0,2,0,0,2,1,2,1,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_9
128744,2,0,0,1,1,0,0,0,0,0,0,0,2,0,4,2,1,0,2,0,1,0,0,0,1,0,0,0,4,2,1,0,0,1,1,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Class_4
68411,0,3,0,0,2,0,0,0,0,0,3,0,0,1,0,0,3,0,0,5,22,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,2,0,0,10,0,4,0,1,0,0,5,0,0,0,0,4,0,0,3,0,1,1,3,18,0,1,1,0,0,2,0,2,48,4,0,5,0,0,1,Class_3
72464,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,5,0,4,2,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,Class_7
89986,2,0,3,0,0,0,0,0,8,0,0,0,2,0,2,0,0,0,1,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,8,1,0,1,8,0,1,0,0,0,0,1,0,0,6,5,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,1,6,Class_3
160067,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,3,16,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,Class_8
101072,0,0,0,0,0,1,0,2,9,0,0,0,0,0,2,0,0,1,3,28,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Class_8
106473,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,7,0,0,0,1,0,4,0,2,0,0,1,2,0,0,0,0,0,0,1,4,0,0,0,9,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Class_4
9197,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,2,0,0,4,19,0,0,3,0,0,0,0,12,0,12,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,3,5,1,0,0,0,Class_9
21614,0,12,1,23,2,0,1,0,0,2,0,0,7,2,1,0,1,0,2,1,1,0,0,0,0,15,1,2,1,0,0,2,0,0,4,1,0,2,0,4,3,1,0,5,0,4,0,0,0,0,2,72,2,2,1,2,6,7,0,0,4,0,1,0,0,0,2,0,5,0,0,7,19,0,1,Class_1
112234,2,4,5,0,0,0,0,1,0,18,2,0,3,0,0,7,0,0,2,1,6,0,52,2,0,1,0,0,0,4,0,0,0,35,3,0,0,0,11,2,0,1,3,1,3,0,5,0,3,0,0,3,0,2,0,0,1,6,0,1,0,0,0,1,2,0,0,1,4,1,1,1,61,2,1,Class_3
98625,0,0,0,1,0,0,2,0,1,2,6,0,3,0,14,0,2,0,3,13,0,0,0,2,0,0,1,0,2,2,1,3,0,0,1,0,1,10,0,1,0,0,36,14,0,4,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,Class_6
129878,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,0,0,0,1,1,4,0,1,0,0,0,0,0,0,10,1,0,0,0,0,Class_8
66176,0,0,3,2,0,0,0,0,0,0,1,1,6,1,4,4,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,12,0,3,0,2,0,0,1,1,0,Class_6
10075,1,0,7,1,1,0,0,0,4,3,1,0,3,1,1,0,4,0,2,8,0,0,0,3,0,9,1,2,1,2,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,2,1,0,1,2,0,6,0,2,0,3,0,2,0,0,0,2,0,0,4,63,2,0,0,1,3,31,0,Class_6
145012,1,0,0,0,0,2,0,0,1,0,2,2,4,1,6,0,1,6,2,2,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,1,0,2,2,1,2,1,0,35,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,Class_9
54402,0,0,9,0,0,1,3,0,0,0,2,0,5,0,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,0,0,6,1,1,0,2,1,0,0,3,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,Class_6
112812,0,0,2,0,0,0,0,4,1,0,1,0,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,1,2,1,1,0,1,0,0,0,1,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_8
2815,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
41259,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_2
189057,0,0,25,70,1,0,2,1,1,3,3,0,1,4,6,61,1,6,4,21,0,2,0,4,43,3,4,1,3,2,2,0,0,7,2,7,0,2,1,2,2,0,0,2,2,0,26,0,0,7,4,4,0,29,59,32,2,2,0,1,2,4,33,2,3,9,0,10,45,0,0,1,0,2,2,Class_8
188901,0,4,0,0,0,0,1,0,10,0,1,0,0,0,1,0,0,1,6,15,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,1,2,0,0,0,2,1,0,0,0,13,0,2,0,0,4,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,Class_7
167029,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,0,0,Class_6
134552,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,7,4,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,0,0,0,0,7,0,0,1,11,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Class_8
92596,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,4,0,2,0,1,0,0,0,0,7,0,1,0,2,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,6,0,0,0,0,1,1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,Class_2
178489,2,2,1,0,0,0,0,0,4,0,0,0,2,0,3,0,6,3,4,0,0,0,3,4,1,8,0,2,0,2,2,3,0,1,0,1,0,3,4,0,1,0,0,9,2,1,0,0,0,2,0,14,1,1,3,0,0,1,1,1,2,4,33,1,2,7,1,60,0,0,0,0,0,0,0,Class_9
190726,0,0,0,3,0,0,2,3,10,22,0,0,0,0,0,0,5,13,2,6,2,3,0,0,0,0,1,0,1,1,1,8,0,1,2,1,1,1,3,2,0,4,1,0,0,0,0,0,3,0,1,4,0,1,4,0,5,24,0,1,3,2,2,1,0,1,1,1,0,2,0,0,4,2,0,Class_6
